Motor Speed (RPM),Torque (Capped at 80kW)
0.669972683,230.2535546
50.66205277,230.2197308
157.9218215,230.2197308
265.1815902,230.2197308
372.441359,230.2197308
479.7011277,230.2197308
586.9608964,230.2197308
694.2206651,230.2197308
801.7851491,230.3330272
908.7402026,230.2197308
1015.999971,230.2197308
1123.25974,230.2197308
1230.519509,230.2197308
1331.075542,230.2197308
1438.335311,230.2197308
1545.595079,230.2197308
1652.854848,230.2197308
1760.114617,230.2197308
1867.374386,230.2197308
1974.634154,230.2197308
2081.893923,230.2197308
2189.153692,230.2197308
2296.413461,230.2197308
2403.368514,230.3330272
2510.932998,230.2197308
2612.60632,230.158187
2720.759921,230.0812574
2826.008569,229.942784
2933.268337,228.2642088
3040.528106,220.2776953
3140.087902,213.3376885
3210.749726,208.6552417
3309.794817,202.4236054
3415.937297,196.1865995
3523.197065,190.2705113
3630.456834,184.641364
3737.716603,179.3424494
3844.976372,174.3909126
3945.532405,169.9386644
4053.706319,165.4507095
4160.051942,161.230621
4267.311711,157.2236064
4374.57148,153.4607535
4480.917103,149.9403181
4589.091017,146.6016031
4694.339665,143.5183743
4801.477548,140.5572875
4907.518455,137.7911831
5014.778224,135.0915126
5122.037993,132.5076581
5227.957015,130.047608
5326.501927,127.9358716
5433.456981,125.6093481